ts	phase	decision	why	evidence	result
2026-08-13T01:42:53Z	frame	Require emulator boot, real pairing and catalog, media playback, and Watch Together before calling the Xbox app complete	An XBE build alone does not prove a usable console app	apps/xbox/README.md; packages/libogc-gx; apps/web/src/server/console-pairing.ts	Tracer bullet is retained but no longer treated as the deliverable
2026-08-13T01:42:53Z	design	Put emulator viability and a repeatable harness before runtime feature work	xemu firmware and disk requirements are the riskiest external dependency	command -v xemu; local firmware asset search	No installed xemu or Xbox firmware assets found yet
2026-08-13T01:42:53Z	design	Trace GameCube and Wii ownership before extracting shared code	Copying libogc-bound modules would duplicate domain rules and make parity drift	packages/libogc-gx; packages/console-ui	Architecture exploration started
2026-08-13T01:45:31Z	emulator	Pin and install the official xemu AppImage and copyright-free dashboard HDD locally	The emulator and legal disk scaffold can be reproduced without mutating the host system	apps/xbox/scripts/bootstrap-emulator.sh; apps/xbox/PINS.env	xemu 0.8.136 and dashboard HDD 20260516-0955 verified by SHA-256
2026-08-13T01:45:31Z	emulator	Build a bootable XISO as the emulator input	xemu loads disc images, not a loose XBE, through its supported command line	apps/xbox/scripts/build-iso.sh; apps/xbox/Multiplex.iso	2.9 MiB Multiplex XISO built successfully
2026-08-13T01:45:31Z	emulator	Do not download MCPX or Xbox BIOS images	The official xemu documentation says the legal source is a dump from a physical Xbox	https://xemu.app/docs/required-files/	Runtime boot remains gated on local legal dumps while other port work continues
2026-08-13T01:54:15Z	emulator	Reject Cxbx-Reloaded as runtime proof	It loaded the XBE metadata but fell back to LLE and produced a black viewport	apps/xbox/cxbx-smoke.log; apps/xbox/cxbx-smoke.png	NOT VERIFIED; Cxbx remains a diagnostic fallback only
2026-08-13T01:54:15Z	emulator	Force emulator smoke tests onto Xvfb	The initial Cxbx smoke inherited the workstation display and could disturb the user session	apps/xbox/scripts/smoke-cxbx.sh; apps/xbox/scripts/smoke-xemu.sh	All scripted emulator smoke now creates an isolated virtual display
2026-08-13T02:25:35Z	emulator	Use xemu under headless gamescope as the primary acceptance gate	The supplied MCPX and Complex 4627 dumps boot a real XISO without touching the workstation display	apps/xbox/xemu-smoke.png; apps/xbox/scripts/smoke-xemu.sh	VERIFIED; Multiplex launch screen rendered at 640x480
2026-08-13T02:25:35Z	runtime	Initialize the Xbox video mode before SDL and reserve a 1 MiB main-thread stack	nxdk SDL asserted with an unset framebuffer mode and the generated renderer exhausted nxdk's 64 KiB default stack	xemu guest registers; apps/xbox/main.c; apps/xbox/Makefile	VERIFIED in the headless xemu smoke gate
2026-08-13T02:25:35Z	architecture	Use the single portable runtime design and keep transport values private to adapters	The architecture arena scored the incremental single-core extraction highest while identifying platform-handle leakage to remove	apps/xbox/ARCHITECTURE.md; /tmp/xbox-arch/candidate-a.md; /tmp/xbox-arch/candidate-b.md	Candidate A selected with Candidate B's domain snapshot and private session-vault rules
2026-08-13T03:04:58Z	build	Fixed executable config generation and refreshed every workspace in bun.lock	The emulator and CI gates were failing before the XBE could start	apps/xbox/scripts/generate-config-header.sh; bun.lock	VERIFIED by frozen install and xemu smoke
2026-08-13T03:04:58Z	network	Kept the first Xbox transport on HTTP and preserved non-default ports in the Host header	nxdk has no TLS adapter yet, and silently accepting HTTPS made pairing retry forever	apps/xbox/http.c; apps/xbox/README.md	Cross-build and portable tests pass
2026-08-13T03:04:58Z	frame	Sequenced catalog before media and Watch Together	Catalog proves paired credentials, HTTP, JSON boundaries, and shared UI state before codec work	.audit/xbox-port.tsv; apps/web/src/app/api/console	in progress
2026-08-13T03:17:31Z	catalog	Loaded the console Plex server and home rows through the persisted Better Auth bearer session	Reused the existing credential model and kept the JSON wire shape at the Xbox HTTP boundary	apps/xbox/gateway_catalog.c; apps/web/src/server/console-plex-auth.ts	VERIFIED by host tests and xemu fixture requests
2026-08-13T03:17:31Z	catalog	Kept catalog strings in XboxApp for the full UI session	The native UI retains string slices, so stack-local catalog storage rendered corrupted text	apps/xbox/main.c; apps/xbox/xemu-smoke.png	VERIFIED; xemu renders Continue Watching and Xbox Fixture Movie
2026-08-13T03:17:31Z	emulator	Enabled xemu NAT in the checked-in config template	The first catalog run produced zero guest requests because xemu networking was disabled	apps/xbox/xemu.template.toml; apps/xbox/xemu-catalog-fixture.log	VERIFIED; guest reached 10.0.2.2 fixture
